2018-11-19 04:48:46 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\23.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:9200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:47 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\24.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:9600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:47 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\25.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:10000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:47 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\26.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:10400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:47 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\27.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:10800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:48 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\28.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:11200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:48 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\29.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:11600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:48 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\30.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:12000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:48 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\31.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:12400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:49 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\32.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:12800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:49 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\33.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:13200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:49 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\34.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:13600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:49 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\35.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:14000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:50 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\36.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:14400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:50 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\37.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:14800000, write file length = 400000, user command: 'MERGE'}
